用户,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01
2950,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2951,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
2952,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,回流,不活跃,活跃,持续活跃,活跃,不活跃,活跃
2953,新用户,活跃,持续活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失
2954,新用户,不活跃,流失,回流,不活跃,活跃,不活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失
2955,新用户,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
2956,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2957,新用户,不活跃,流失,回流,活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,回流,活跃,不活跃
2958,新用户,不活跃,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2959,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2960,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2961,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2962,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2963,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
2964,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流
2965,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失
2966,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失
2967,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2968,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2969,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2970,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2971,新用户,不活跃,流失,流失,流失,回流,活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
2972,新用户,活跃,不活跃,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
2973,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
2974,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2975,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃
2976,新用户,活跃,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
2977,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2978,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2979,新用户,不活跃,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃
2980,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2981,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2982,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2983,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2984,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2985,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2986,新用户,活跃,不活跃,流失,流失,回流,活跃,不活跃,活跃,持续活跃,持续活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失
2987,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
2988,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失
2989,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2990,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2991,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2992,新用户,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2993,新用户,不活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2994,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2995,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2996,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2997,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
2998,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,回流,不活跃,活跃,不活跃,活跃,持续活跃,活跃,持续活跃
2999,新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,不活跃,流失,流失
3000,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3001,新用户,不活跃,活跃,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3002,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失
3003,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3004,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3005,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3006,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3007,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3008,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3009,新用户,活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,流失
3010,新用户,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3011,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失
3012,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃
3013,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3014,新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流
3015,新用户,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,活跃,不活跃,流失,流失,流失
3016,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失
3017,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3018,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失
3019,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3020,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失
3021,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3022,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3023,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3024,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3025,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3026,新用户,活跃,不活跃,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失
3027,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3028,新用户,不活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失
3029,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3030,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3031,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3032,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3033,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3034,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3035,新用户,不活跃,流失,回流,活跃,不活跃,流失,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失,回流,不活跃
3036,新用户,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃
3037,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3038,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3039,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3040,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
3041,未注册,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,活跃,不活跃,活跃,不活跃,活跃
3042,新用户,不活跃,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3043,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3044,新用户,不活跃,活跃,持续活跃,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,回流,活跃,持续活跃,持续活跃,持续活跃,持续活跃
3045,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3046,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失
3047,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3048,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3049,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃
3050,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3051,新用户,不活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,活跃
3052,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3053,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失
3054,未注册,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3055,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3056,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3057,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3058,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3059,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3060,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3061,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3062,新用户,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失
3063,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3064,未注册,未注册,新用户,活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,不活跃,流失,回流,活跃,不活跃,流失,流失
3065,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失
3066,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3067,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3068,新用户,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3069,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3070,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3071,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3072,新用户,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3073,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,流失
3074,未注册,新用户,不活跃,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失,回流,不活跃,活跃,不活跃,流失,流失,回流
3075,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3076,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3077,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3078,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3079,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3080,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3081,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3082,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
3083,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3084,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
3085,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3086,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3087,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3088,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3089,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失
3090,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失,回流,活跃,不活跃,流失
3091,新用户,不活跃,活跃,不活跃,活跃,不活跃,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失
3092,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
3093,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3094,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3095,新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3096,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3097,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3098,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3099,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3100,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3101,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3102,新用户,活跃,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
3103,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3104,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3105,新用户,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3106,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3107,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3108,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3109,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3110,新用户,活跃,持续活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3111,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3112,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3113,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3114,新用户,不活跃,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失
3115,未注册,新用户,活跃,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3116,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3117,新用户,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3118,新用户,活跃,持续活跃,持续活跃,活跃,不活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3119,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3120,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3121,新用户,活跃,持续活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3122,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3123,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3124,新用户,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失
3125,新用户,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3126,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3127,新用户,活跃,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,回流,不活跃,活跃,不活跃,活跃
3128,新用户,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3129,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3130,新用户,不活跃,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失
3131,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3132,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3133,新用户,活跃,持续活跃,活跃,不活跃,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
3134,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3135,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3136,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3137,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3138,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,回流,不活跃
3139,未注册,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃,不活跃,活跃,不活跃,活跃
3140,新用户,不活跃,流失,回流,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
3141,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,活跃,不活跃
3142,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失
3143,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3144,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3145,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
3146,未注册,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,活跃
3147,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3148,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
3149,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3150,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3151,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3152,新用户,不活跃,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3153,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3154,新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
3155,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3156,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
3157,新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失
3158,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3159,新用户,不活跃,流失,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
3160,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3161,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3162,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3163,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,回流,活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失
3164,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
3165,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,流失
