,用户,时间,数量,金额,月份
13984,4401,1997-10-27,1,12.99,1997-10-01
13985,4401,1997-11-30,2,20.48,1997-11-01
13986,4401,1997-12-10,2,25.98,1997-12-01
13987,4401,1997-12-10,3,39.97,1997-12-01
13988,4401,1998-04-03,1,11.88,1998-04-01
13989,4401,1998-05-06,3,38.47,1998-05-01
13990,4402,1997-01-18,3,25.32,1997-01-01
13991,4402,1997-08-22,3,27.92,1997-08-01
13992,4402,1997-10-31,3,29.47,1997-10-01
13993,4402,1997-11-22,2,10.98,1997-11-01
13994,4402,1997-12-08,3,21.47,1997-12-01
13995,4402,1998-01-27,4,39.65,1998-01-01
13996,4402,1998-04-11,3,32.47,1998-04-01
13997,4402,1998-06-27,2,19.98,1998-06-01
13998,4403,1997-03-12,1,14.96,1997-03-01
13999,4404,1997-01-18,2,31.98,1997-01-01
14000,4404,1997-06-24,4,56.3,1997-06-01
14001,4405,1997-01-18,1,15.36,1997-01-01
14002,4406,1997-01-18,1,20.99,1997-01-01
14003,4406,1997-02-01,1,17.99,1997-02-01
14004,4406,1997-02-22,1,17.99,1997-02-01
14005,4406,1997-03-03,1,20.99,1997-03-01
14006,4406,1997-03-10,1,11.77,1997-03-01
14007,4406,1997-04-07,1,17.99,1997-04-01
14008,4406,1997-05-08,2,31.95,1997-05-01
14009,4406,1997-06-09,2,29.33,1997-06-01
14010,4406,1997-07-12,1,14.37,1997-07-01
14011,4406,1997-08-09,1,18.1,1997-08-01
14012,4406,1997-08-28,1,25.32,1997-08-01
14013,4406,1997-12-24,2,23.98,1997-12-01
14014,4406,1998-02-20,2,39.48,1998-02-01
14015,4406,1998-03-08,1,23.99,1998-03-01
14016,4407,1997-01-18,1,11.77,1997-01-01
14017,4408,1997-01-18,2,32.74,1997-01-01
14018,4408,1997-02-06,4,56.66,1997-02-01
14019,4408,1997-05-09,1,11.77,1997-05-01
14020,4409,1997-01-18,1,22.99,1997-01-01
14021,4409,1998-01-18,2,29.48,1998-01-01
14022,4410,1997-01-21,32,421.3,1997-01-01
14023,4410,1997-11-12,26,379.74,1997-11-01
14024,4410,1998-02-26,10,120.51,1998-02-01
14025,4410,1998-05-08,11,140.87,1998-05-01
14026,4411,1997-01-18,3,50.08,1997-01-01
14027,4411,1997-01-25,4,51.87,1997-01-01
14028,4412,1997-01-18,3,44.37,1997-01-01
14029,4412,1997-08-15,1,12.77,1997-08-01
14030,4412,1997-09-30,1,13.99,1997-09-01
14031,4413,1997-01-18,1,13.97,1997-01-01
14032,4413,1997-04-20,1,15.36,1997-04-01
14033,4413,1997-05-22,1,14.96,1997-05-01
14034,4413,1997-06-24,1,14.96,1997-06-01
14035,4413,1997-09-28,1,13.99,1997-09-01
14036,4413,1997-12-29,1,13.99,1997-12-01
14037,4413,1998-06-06,1,14.99,1998-06-01
14038,4413,1998-06-06,2,29.98,1998-06-01
14039,4414,1997-03-10,6,78.0,1997-03-01
14040,4415,1997-01-18,1,15.36,1997-01-01
14041,4416,1997-01-18,1,13.97,1997-01-01
14042,4416,1997-01-29,3,40.1,1997-01-01
14043,4416,1997-03-31,2,27.96,1997-03-01
14044,4416,1997-04-18,3,74.1,1997-04-01
14045,4416,1997-12-08,1,14.49,1997-12-01
14046,4416,1998-01-22,3,37.35,1998-01-01
14047,4416,1998-02-16,3,38.75,1998-02-01
14048,4416,1998-06-01,5,58.72,1998-06-01
14049,4417,1997-01-18,3,46.28,1997-01-01
14050,4417,1997-03-18,6,78.99,1997-03-01
14051,4418,1997-01-18,1,16.7,1997-01-01
14052,4419,1997-01-18,1,11.77,1997-01-01
14053,4420,1997-01-18,1,14.37,1997-01-01
14054,4420,1998-02-23,1,9.99,1998-02-01
14055,4420,1998-03-08,1,11.88,1998-03-01
14056,4420,1998-05-14,2,28.48,1998-05-01
14057,4421,1997-01-18,1,13.97,1997-01-01
14058,4421,1997-12-10,1,7.49,1997-12-01
14059,4422,1997-01-18,2,27.94,1997-01-01
14060,4422,1997-06-24,1,11.77,1997-06-01
14061,4423,1997-01-18,5,74.62,1997-01-01
14062,4424,1997-01-18,2,28.93,1997-01-01
14063,4424,1997-08-29,1,14.96,1997-08-01
14064,4424,1998-06-11,2,23.76,1998-06-01
14065,4425,1997-02-14,3,37.51,1997-02-01
14066,4425,1997-03-19,2,26.73,1997-03-01
14067,4426,1997-01-18,1,9.77,1997-01-01
14068,4427,1997-01-18,3,44.29,1997-01-01
14069,4428,1997-01-18,4,57.27,1997-01-01
14070,4429,1997-01-18,2,28.34,1997-01-01
14071,4429,1997-11-10,2,24.98,1997-11-01
14072,4430,1997-01-18,1,11.77,1997-01-01
14073,4430,1997-07-14,1,15.36,1997-07-01
14074,4431,1997-01-18,4,39.51,1997-01-01
14075,4431,1997-05-20,2,19.96,1997-05-01
14076,4431,1997-07-21,4,40.72,1997-07-01
14077,4431,1997-11-19,2,20.48,1997-11-01
14078,4431,1998-02-24,3,29.97,1998-02-01
14079,4431,1998-03-26,1,11.88,1998-03-01
14080,4432,1997-01-18,1,9.98,1997-01-01
14081,4432,1997-01-31,1,9.98,1997-01-01
14082,4432,1997-04-19,2,20.75,1997-04-01
14083,4433,1997-01-18,6,130.47,1997-01-01
14084,4434,1997-01-18,1,9.77,1997-01-01
14085,4435,1997-01-18,1,15.36,1997-01-01
14086,4436,1997-01-18,2,23.54,1997-01-01
14087,4436,1997-01-21,1,15.36,1997-01-01
14088,4436,1997-01-29,3,37.91,1997-01-01
14089,4436,1997-02-03,1,11.77,1997-02-01
14090,4436,1997-02-10,1,12.97,1997-02-01
14091,4436,1997-02-11,1,9.99,1997-02-01
14092,4436,1997-02-18,5,62.65,1997-02-01
14093,4436,1997-02-21,2,25.74,1997-02-01
14094,4436,1997-02-28,1,17.99,1997-02-01
14095,4436,1997-03-11,3,38.5,1997-03-01
14096,4436,1997-03-18,3,33.51,1997-03-01
14097,4436,1997-03-27,3,36.51,1997-03-01
14098,4436,1997-04-23,5,61.05,1997-04-01
14099,4436,1997-05-13,1,32.45,1997-05-01
14100,4436,1997-05-16,3,35.31,1997-05-01
14101,4436,1997-08-01,1,17.9,1997-08-01
14102,4436,1997-09-28,1,26.99,1997-09-01
14103,4436,1997-10-01,3,33.47,1997-10-01
14104,4436,1997-10-26,2,24.48,1997-10-01
14105,4436,1997-11-17,1,17.99,1997-11-01
14106,4436,1998-03-14,1,10.99,1998-03-01
14107,4437,1997-01-25,7,88.38,1997-01-01
14108,4438,1997-01-18,1,13.97,1997-01-01
14109,4439,1997-01-18,4,60.08,1997-01-01
14110,4440,1997-01-18,2,59.98,1997-01-01
14111,4440,1997-07-26,2,29.75,1997-07-01
14112,4440,1997-09-23,2,33.98,1997-09-01
14113,4440,1997-10-01,1,12.99,1997-10-01
14114,4440,1997-10-22,2,33.98,1997-10-01
14115,4440,1997-11-07,1,12.99,1997-11-01
14116,4440,1997-12-24,2,19.98,1997-12-01
14117,4440,1998-02-07,2,27.48,1998-02-01
14118,4440,1998-03-07,3,37.86,1998-03-01
14119,4440,1998-04-05,2,27.98,1998-04-01
14120,4440,1998-04-17,3,48.97,1998-04-01
14121,4440,1998-04-26,1,26.99,1998-04-01
14122,4440,1998-06-10,2,32.98,1998-06-01
14123,4441,1997-01-18,1,26.99,1997-01-01
14124,4442,1997-01-18,2,26.73,1997-01-01
14125,4443,1997-01-18,1,13.97,1997-01-01
14126,4443,1997-07-25,1,11.77,1997-07-01
14127,4444,1997-01-18,1,13.97,1997-01-01
14128,4444,1997-02-28,3,42.32,1997-02-01
14129,4445,1997-01-18,3,54.75,1997-01-01
14130,4445,1997-01-26,1,9.77,1997-01-01
14131,4445,1997-03-11,1,10.97,1997-03-01
14132,4445,1997-03-13,1,23.99,1997-03-01
14133,4445,1997-05-22,2,27.74,1997-05-01
14134,4445,1997-06-25,1,12.97,1997-06-01
14135,4445,1997-10-27,2,23.48,1997-10-01
14136,4445,1998-01-20,1,11.99,1998-01-01
14137,4446,1997-01-18,6,55.04,1997-01-01
14138,4447,1997-01-18,3,51.34,1997-01-01
14139,4448,1997-01-18,5,84.85,1997-01-01
14140,4448,1997-02-21,1,49.99,1997-02-01
14141,4448,1997-05-08,1,14.37,1997-05-01
14142,4448,1998-01-01,1,12.49,1998-01-01
14143,4448,1998-01-12,4,51.96,1998-01-01
14144,4448,1998-02-07,1,9.49,1998-02-01
14145,4448,1998-03-17,1,13.99,1998-03-01
14146,4448,1998-04-09,3,33.56,1998-04-01
14147,4449,1997-01-18,2,28.34,1997-01-01
14148,4450,1997-01-18,1,20.99,1997-01-01
14149,4450,1997-03-07,1,11.77,1997-03-01
14150,4451,1997-01-18,2,19.96,1997-01-01
14151,4452,1997-01-18,1,13.99,1997-01-01
14152,4453,1997-01-18,1,29.99,1997-01-01
14153,4454,1997-01-18,1,15.36,1997-01-01
14154,4454,1997-06-22,1,14.96,1997-06-01
14155,4454,1997-08-03,2,34.95,1997-08-01
14156,4454,1997-10-19,1,12.99,1997-10-01
14157,4454,1998-02-05,1,19.49,1998-02-01
14158,4454,1998-04-18,1,11.88,1998-04-01
14159,4455,1997-01-18,1,12.49,1997-01-01
14160,4455,1997-02-10,1,21.99,1997-02-01
14161,4455,1997-06-04,1,14.37,1997-06-01
14162,4455,1997-07-21,4,61.52,1997-07-01
14163,4455,1997-07-29,3,34.31,1997-07-01
14164,4455,1997-08-01,3,37.5,1997-08-01
14165,4455,1998-06-06,1,23.49,1998-06-01
14166,4456,1997-01-18,2,25.74,1997-01-01
14167,4456,1997-11-13,4,65.96,1997-11-01
14168,4456,1998-01-01,3,38.97,1998-01-01
14169,4457,1997-01-18,1,9.77,1997-01-01
14170,4458,1997-01-18,3,42.9,1997-01-01
14171,4459,1997-01-24,2,35.52,1997-01-01
14172,4459,1997-01-27,2,26.14,1997-01-01
14173,4459,1997-01-29,1,15.36,1997-01-01
14174,4459,1997-01-29,1,18.99,1997-01-01
14175,4459,1997-02-03,2,45.98,1997-02-01
14176,4459,1997-02-05,3,76.35,1997-02-01
14177,4459,1997-02-07,2,33.35,1997-02-01
14178,4459,1997-02-07,1,13.97,1997-02-01
14179,4459,1997-02-07,2,32.75,1997-02-01
14180,4459,1997-02-11,4,48.48,1997-02-01
14181,4459,1997-02-15,1,31.99,1997-02-01
14182,4459,1997-02-21,1,19.99,1997-02-01
14183,4459,1997-03-01,4,66.88,1997-03-01
14184,4459,1997-03-05,2,26.94,1997-03-01
14185,4459,1997-03-06,1,9.77,1997-03-01
14186,4459,1997-03-18,1,20.99,1997-03-01
14187,4459,1997-03-28,1,10.77,1997-03-01
14188,4459,1997-03-31,1,20.99,1997-03-01
14189,4459,1997-04-02,1,9.77,1997-04-01
14190,4459,1997-04-04,1,57.77,1997-04-01
14191,4459,1997-04-07,1,16.99,1997-04-01
14192,4459,1997-04-18,1,9.77,1997-04-01
14193,4459,1997-04-19,1,13.97,1997-04-01
14194,4459,1997-04-23,2,35.74,1997-04-01
14195,4459,1997-04-26,1,27.77,1997-04-01
14196,4459,1997-05-05,1,13.97,1997-05-01
14197,4459,1997-05-14,1,11.77,1997-05-01
14198,4459,1997-05-16,1,14.37,1997-05-01
14199,4459,1997-06-01,3,42.69,1997-06-01
14200,4459,1997-06-20,1,13.97,1997-06-01
14201,4459,1997-06-29,1,11.77,1997-06-01
14202,4459,1997-07-12,2,24.74,1997-07-01
14203,4459,1997-07-24,1,14.96,1997-07-01
14204,4459,1997-07-26,1,18.36,1997-07-01
14205,4459,1997-08-31,1,11.77,1997-08-01
14206,4459,1997-09-03,3,39.5,1997-09-01
14207,4459,1997-09-07,2,23.54,1997-09-01
14208,4459,1997-09-13,2,26.98,1997-09-01
14209,4459,1997-10-01,2,20.98,1997-10-01
14210,4459,1997-10-12,2,28.98,1997-10-01
14211,4459,1997-10-24,3,44.47,1997-10-01
14212,4459,1997-11-08,3,37.47,1997-11-01
14213,4459,1997-11-20,2,33.98,1997-11-01
14214,4459,1997-11-22,2,29.98,1997-11-01
14215,4459,1997-12-03,3,43.47,1997-12-01
14216,4459,1997-12-05,2,25.98,1997-12-01
14217,4459,1997-12-10,6,80.94,1997-12-01
14218,4459,1997-12-20,2,39.48,1997-12-01
14219,4459,1997-12-28,4,76.96,1997-12-01
14220,4459,1998-01-24,2,36.48,1998-01-01
14221,4459,1998-02-18,2,22.98,1998-02-01
14222,4459,1998-03-03,3,32.47,1998-03-01
14223,4459,1998-03-04,4,56.46,1998-03-01
14224,4459,1998-03-05,2,44.48,1998-03-01
14225,4459,1998-03-11,1,13.99,1998-03-01
14226,4459,1998-03-11,1,15.49,1998-03-01
14227,4459,1998-03-14,1,14.49,1998-03-01
14228,4459,1998-04-07,1,13.99,1998-04-01
14229,4459,1998-04-09,1,75.49,1998-04-01
14230,4459,1998-04-09,1,11.49,1998-04-01
14231,4459,1998-04-09,1,10.49,1998-04-01
14232,4459,1998-04-11,1,8.49,1998-04-01
14233,4459,1998-04-24,2,24.98,1998-04-01
14234,4459,1998-05-08,1,11.49,1998-05-01
14235,4459,1998-06-05,1,15.99,1998-06-01
14236,4460,1997-01-21,4,61.24,1997-01-01
14237,4460,1997-05-11,3,33.94,1997-05-01
14238,4460,1997-05-27,1,12.25,1997-05-01
14239,4460,1997-05-28,1,14.96,1997-05-01
14240,4460,1997-09-25,1,16.49,1997-09-01
14241,4460,1998-05-02,1,16.99,1998-05-01
14242,4461,1997-01-18,3,41.25,1997-01-01
14243,4461,1997-06-19,2,28.34,1997-06-01
14244,4461,1997-11-18,1,12.49,1997-11-01
14245,4461,1998-04-05,2,24.48,1998-04-01
14246,4461,1998-05-19,2,23.98,1998-05-01
14247,4462,1997-01-18,1,12.77,1997-01-01
14248,4462,1997-01-27,1,14.37,1997-01-01
14249,4463,1997-01-18,3,42.31,1997-01-01
14250,4463,1997-02-01,1,51.37,1997-02-01
14251,4463,1997-02-13,1,14.79,1997-02-01
14252,4463,1997-02-15,1,10.97,1997-02-01
14253,4464,1997-01-18,1,22.99,1997-01-01
14254,4465,1997-01-18,4,56.66,1997-01-01
14255,4466,1997-01-18,1,13.97,1997-01-01
14256,4467,1997-01-18,3,76.97,1997-01-01
14257,4468,1997-01-18,1,17.9,1997-01-01
14258,4469,1997-01-18,1,17.7,1997-01-01
14259,4470,1997-01-18,3,59.34,1997-01-01
14260,4470,1997-02-20,1,21.99,1997-02-01
14261,4471,1997-01-18,4,50.27,1997-01-01
14262,4472,1997-01-18,2,27.13,1997-01-01
14263,4472,1997-02-01,4,56.06,1997-02-01
14264,4473,1997-01-18,1,28.7,1997-01-01
14265,4473,1997-05-06,2,23.94,1997-05-01
14266,4474,1997-01-18,6,97.22,1997-01-01
14267,4474,1997-01-22,1,15.36,1997-01-01
14268,4474,1997-02-11,1,15.36,1997-02-01
14269,4474,1997-12-30,18,271.82,1997-12-01
14270,4474,1998-01-02,2,31.98,1998-01-01
14271,4475,1997-01-20,1,12.49,1997-01-01
14272,4475,1997-01-26,1,17.96,1997-01-01
14273,4476,1997-01-18,1,14.37,1997-01-01
14274,4476,1997-07-27,2,30.72,1997-07-01
14275,4476,1997-07-27,1,15.96,1997-07-01
14276,4476,1997-08-01,2,27.13,1997-08-01
14277,4476,1997-08-19,4,76.41,1997-08-01
14278,4476,1997-11-14,5,77.45,1997-11-01
14279,4476,1997-12-11,3,47.47,1997-12-01
14280,4476,1998-02-25,4,71.35,1998-02-01
14281,4476,1998-06-02,5,68.95,1998-06-01
14282,4476,1998-06-22,3,87.97,1998-06-01
14283,4477,1997-01-18,1,9.98,1997-01-01
14284,4478,1997-01-19,1,15.36,1997-01-01
14285,4478,1997-01-30,2,28.93,1997-01-01
14286,4478,1997-02-08,4,52.83,1997-02-01
14287,4478,1997-03-13,3,50.45,1997-03-01
14288,4478,1997-04-03,1,12.49,1997-04-01
14289,4478,1997-06-26,4,43.6,1997-06-01
14290,4478,1997-09-13,3,65.97,1997-09-01
14291,4478,1997-10-17,2,18.48,1997-10-01
14292,4478,1998-01-25,1,21.49,1998-01-01
14293,4478,1998-04-19,3,45.47,1998-04-01
14294,4478,1998-04-19,2,20.98,1998-04-01
14295,4478,1998-05-26,1,14.99,1998-05-01
14296,4478,1998-05-27,1,10.99,1998-05-01
14297,4478,1998-06-22,1,12.99,1998-06-01
14298,4479,1997-01-31,2,25.76,1997-01-01
14299,4479,1997-02-10,1,17.96,1997-02-01
14300,4479,1997-03-03,1,14.99,1997-03-01
14301,4479,1997-03-17,2,19.98,1997-03-01
14302,4480,1997-01-18,2,26.73,1997-01-01
14303,4481,1997-01-18,1,78.77,1997-01-01
14304,4482,1997-01-18,2,19.54,1997-01-01
14305,4482,1997-03-06,1,16.96,1997-03-01
14306,4483,1997-01-18,1,15.76,1997-01-01
14307,4484,1997-01-18,1,4.79,1997-01-01
14308,4484,1997-01-25,1,14.9,1997-01-01
14309,4484,1998-01-11,1,11.49,1998-01-01
14310,4484,1998-02-08,2,27.48,1998-02-01
14311,4485,1997-01-18,1,12.49,1997-01-01
14312,4485,1997-03-04,4,30.52,1997-03-01
14313,4485,1997-07-27,2,24.13,1997-07-01
14314,4486,1997-01-18,2,73.13,1997-01-01
14315,4487,1997-01-18,2,41.77,1997-01-01
14316,4487,1997-02-22,2,14.75,1997-02-01
14317,4487,1997-03-01,1,15.9,1997-03-01
14318,4488,1997-01-19,3,43.73,1997-01-01
14319,4488,1997-01-20,1,17.99,1997-01-01
14320,4488,1997-01-27,1,11.77,1997-01-01
14321,4488,1997-01-30,1,13.97,1997-01-01
14322,4488,1997-02-01,1,11.77,1997-02-01
14323,4488,1997-02-08,1,9.97,1997-02-01
14324,4488,1997-03-04,1,11.77,1997-03-01
14325,4488,1997-04-17,1,24.99,1997-04-01
14326,4488,1997-04-29,1,27.77,1997-04-01
14327,4488,1997-05-17,2,17.54,1997-05-01
14328,4488,1997-06-06,1,14.96,1997-06-01
14329,4488,1997-06-22,1,14.96,1997-06-01
14330,4488,1997-07-04,1,11.77,1997-07-01
14331,4488,1997-07-26,1,14.37,1997-07-01
14332,4488,1997-11-04,4,74.46,1997-11-01
14333,4488,1997-11-24,1,14.49,1997-11-01
14334,4489,1997-01-19,6,74.9,1997-01-01
14335,4489,1997-06-14,2,24.49,1997-06-01
14336,4489,1997-11-30,1,12.99,1997-11-01
14337,4490,1997-01-18,1,21.37,1997-01-01
14338,4490,1997-02-02,3,51.51,1997-02-01
14339,4490,1997-04-12,3,42.69,1997-04-01
14340,4491,1997-01-18,2,26.73,1997-01-01
14341,4491,1997-04-19,1,14.96,1997-04-01
14342,4491,1997-10-14,1,24.49,1997-10-01
14343,4491,1998-02-07,2,29.98,1998-02-01
14344,4492,1997-01-18,2,22.74,1997-01-01
14345,4493,1997-01-18,2,25.74,1997-01-01
14346,4493,1997-05-03,3,35.72,1997-05-01
14347,4493,1997-05-09,6,69.83,1997-05-01
14348,4493,1997-05-18,3,28.53,1997-05-01
14349,4493,1997-06-21,2,19.98,1997-06-01
14350,4493,1997-06-27,1,9.99,1997-06-01
14351,4493,1997-07-12,2,29.97,1997-07-01
14352,4493,1997-07-20,1,14.99,1997-07-01
14353,4493,1997-07-27,1,14.99,1997-07-01
14354,4493,1997-08-22,2,29.98,1997-08-01
14355,4493,1997-08-29,1,19.99,1997-08-01
14356,4493,1997-09-06,2,34.98,1997-09-01
14357,4493,1997-09-10,3,35.47,1997-09-01
14358,4493,1997-09-22,3,38.97,1997-09-01
14359,4493,1997-09-27,1,9.49,1997-09-01
14360,4493,1997-10-18,1,9.49,1997-10-01
14361,4493,1997-11-21,4,36.96,1997-11-01
14362,4493,1997-11-28,4,51.46,1997-11-01
14363,4493,1997-12-11,3,28.47,1997-12-01
14364,4493,1997-12-21,6,86.94,1997-12-01
14365,4493,1998-01-06,2,23.98,1998-01-01
14366,4493,1998-02-08,1,14.49,1998-02-01
14367,4493,1998-02-28,1,14.49,1998-02-01
14368,4493,1998-03-02,2,18.98,1998-03-01
14369,4493,1998-03-09,5,67.45,1998-03-01
14370,4493,1998-03-26,1,19.49,1998-03-01
14371,4493,1998-03-27,1,9.49,1998-03-01
14372,4493,1998-04-03,2,63.98,1998-04-01
14373,4493,1998-04-24,2,15.98,1998-04-01
14374,4493,1998-05-03,1,9.49,1998-05-01
14375,4494,1997-01-18,1,15.36,1997-01-01
14376,4495,1997-01-18,3,43.7,1997-01-01
14377,4495,1997-11-06,3,40.97,1997-11-01
14378,4496,1997-01-18,1,15.99,1997-01-01
14379,4497,1997-01-18,6,110.0,1997-01-01
14380,4498,1997-02-11,1,19.99,1997-02-01
14381,4499,1997-01-18,1,15.76,1997-01-01
14382,4500,1997-01-18,1,11.77,1997-01-01
14383,4501,1997-01-18,1,26.77,1997-01-01
14384,4502,1997-01-18,2,22.74,1997-01-01
14385,4503,1997-01-18,2,56.54,1997-01-01
14386,4503,1997-02-26,6,89.83,1997-02-01
14387,4503,1997-03-21,7,92.93,1997-03-01
14388,4503,1997-08-02,1,14.96,1997-08-01
14389,4503,1997-08-24,3,42.62,1997-08-01
14390,4503,1997-09-21,1,12.99,1997-09-01
14391,4503,1997-10-08,2,33.98,1997-10-01
14392,4503,1998-02-12,1,34.98,1998-02-01
14393,4503,1998-03-24,1,22.38,1998-03-01
14394,4504,1997-01-18,2,34.72,1997-01-01
14395,4504,1997-11-14,2,19.98,1997-11-01
14396,4505,1997-01-18,1,13.97,1997-01-01
14397,4505,1997-11-09,3,36.47,1997-11-01
14398,4505,1997-12-03,1,11.49,1997-12-01
14399,4505,1997-12-09,1,19.49,1997-12-01
14400,4505,1998-04-27,1,19.49,1998-04-01
14401,4506,1997-03-22,19,231.82,1997-03-01
14402,4506,1997-06-20,2,34.0,1997-06-01
14403,4506,1997-07-29,2,33.2,1997-07-01
14404,4507,1997-01-18,1,15.36,1997-01-01
14405,4507,1997-06-26,3,50.2,1997-06-01
14406,4507,1997-09-09,13,165.37,1997-09-01
14407,4507,1997-09-10,2,28.98,1997-09-01
14408,4507,1998-01-17,1,13.99,1998-01-01
14409,4508,1997-01-18,1,14.9,1997-01-01
14410,4508,1997-09-09,1,16.49,1997-09-01
14411,4509,1997-01-18,1,13.97,1997-01-01
14412,4509,1997-03-08,1,22.77,1997-03-01
14413,4509,1997-04-08,2,9.77,1997-04-01
14414,4509,1997-06-20,3,20.37,1997-06-01
14415,4509,1997-12-17,1,14.49,1997-12-01
14416,4509,1998-01-04,1,13.99,1998-01-01
14417,4509,1998-02-25,2,27.48,1998-02-01
14418,4510,1997-01-18,2,23.74,1997-01-01
14419,4510,1997-08-02,1,13.97,1997-08-01
14420,4510,1997-08-30,1,11.77,1997-08-01
14421,4510,1997-12-16,1,13.99,1997-12-01
14422,4511,1997-01-18,1,13.97,1997-01-01
14423,4511,1997-04-28,1,14.79,1997-04-01
14424,4511,1997-05-15,1,13.97,1997-05-01
14425,4511,1997-07-14,1,14.96,1997-07-01
14426,4512,1997-01-18,3,37.11,1997-01-01
14427,4513,1997-01-25,2,25.74,1997-01-01
14428,4514,1997-01-18,1,11.77,1997-01-01
14429,4514,1997-02-16,1,11.77,1997-02-01
14430,4514,1997-04-15,2,28.13,1997-04-01
14431,4515,1997-01-18,3,54.97,1997-01-01
14432,4516,1997-02-08,4,68.47,1997-02-01
14433,4517,1997-01-19,2,29.93,1997-01-01
14434,4518,1997-01-30,1,10.77,1997-01-01
14435,4518,1997-01-31,3,38.97,1997-01-01
14436,4518,1997-02-03,1,8.97,1997-02-01
14437,4518,1997-02-10,3,43.71,1997-02-01
14438,4518,1997-02-10,3,47.71,1997-02-01
14439,4518,1997-02-11,1,11.77,1997-02-01
14440,4518,1997-02-16,3,51.9,1997-02-01
14441,4518,1997-02-17,1,16.36,1997-02-01
14442,4518,1997-02-19,2,30.15,1997-02-01
14443,4518,1997-02-19,2,39.54,1997-02-01
14444,4518,1997-02-20,1,20.99,1997-02-01
14445,4518,1997-02-21,1,8.77,1997-02-01
14446,4518,1997-02-24,3,33.51,1997-02-01
14447,4518,1997-02-25,3,42.5,1997-02-01
14448,4518,1997-02-26,2,36.54,1997-02-01
14449,4518,1997-02-28,1,11.77,1997-02-01
14450,4518,1997-03-11,4,53.68,1997-03-01
14451,4518,1997-03-11,3,41.5,1997-03-01
14452,4518,1997-03-12,5,110.1,1997-03-01
14453,4518,1997-03-14,1,16.9,1997-03-01
14454,4518,1997-03-16,4,59.09,1997-03-01
14455,4518,1997-03-18,1,16.36,1997-03-01
14456,4518,1997-03-19,2,26.73,1997-03-01
14457,4518,1997-04-08,1,13.97,1997-04-01
14458,4518,1997-04-11,2,24.13,1997-04-01
14459,4518,1997-04-24,1,14.96,1997-04-01
14460,4518,1997-05-30,1,11.97,1997-05-01
14461,4518,1997-06-30,1,11.77,1997-06-01
14462,4518,1997-10-14,2,29.48,1997-10-01
14463,4518,1997-10-22,2,18.48,1997-10-01
14464,4518,1997-10-22,1,12.99,1997-10-01
14465,4518,1997-11-21,2,35.48,1997-11-01
14466,4518,1998-01-05,1,12.99,1998-01-01
14467,4518,1998-02-01,4,36.96,1998-02-01
14468,4518,1998-02-04,3,24.97,1998-02-01
14469,4518,1998-03-07,3,27.47,1998-03-01
14470,4519,1997-01-18,2,24.74,1997-01-01
14471,4520,1997-01-18,1,13.97,1997-01-01
14472,4520,1997-02-19,5,108.26,1997-02-01
14473,4520,1997-03-23,1,13.97,1997-03-01
14474,4520,1997-05-09,2,27.13,1997-05-01
14475,4520,1997-07-25,1,11.77,1997-07-01
14476,4520,1997-08-22,2,30.72,1997-08-01
14477,4520,1997-12-07,3,43.47,1997-12-01
14478,4520,1997-12-13,2,18.48,1997-12-01
14479,4520,1997-12-15,1,19.49,1997-12-01
14480,4520,1998-01-19,2,18.48,1998-01-01
14481,4520,1998-03-11,6,86.93,1998-03-01
14482,4520,1998-03-17,2,26.48,1998-03-01
14483,4520,1998-04-20,2,24.82,1998-04-01
14484,4520,1998-05-20,2,26.48,1998-05-01
14485,4521,1997-01-18,1,13.97,1997-01-01
14486,4522,1997-01-18,1,26.99,1997-01-01
14487,4523,1997-01-18,1,20.99,1997-01-01
14488,4523,1997-12-01,3,35.97,1997-12-01
14489,4524,1997-01-19,1,12.97,1997-01-01
14490,4525,1997-01-19,2,26.74,1997-01-01
14491,4526,1997-01-19,3,43.72,1997-01-01
14492,4526,1997-03-04,3,31.33,1997-03-01
14493,4526,1997-03-18,2,20.76,1997-03-01
14494,4526,1997-04-27,3,35.5,1997-04-01
14495,4527,1997-01-19,2,28.76,1997-01-01
14496,4527,1997-01-31,1,14.79,1997-01-01
14497,4527,1997-08-19,1,16.38,1997-08-01
14498,4527,1997-09-07,5,57.46,1997-09-01
14499,4527,1998-04-03,2,28.07,1998-04-01
14500,4528,1997-01-19,1,15.36,1997-01-01
14501,4529,1997-01-19,1,9.98,1997-01-01
14502,4530,1997-01-19,4,50.67,1997-01-01
14503,4530,1997-02-07,4,46.28,1997-02-01
14504,4530,1998-06-16,4,50.96,1998-06-01
14505,4530,1998-06-21,1,12.49,1998-06-01
14506,4531,1997-01-19,2,26.13,1997-01-01
14507,4532,1997-01-19,7,84.34,1997-01-01
14508,4532,1997-01-26,4,49.44,1997-01-01
14509,4532,1997-02-02,1,12.97,1997-02-01
14510,4532,1997-02-04,3,33.93,1997-02-01
14511,4532,1997-02-13,2,31.75,1997-02-01
14512,4532,1997-02-23,3,53.97,1997-02-01
14513,4532,1997-03-22,4,45.28,1997-03-01
14514,4532,1997-04-06,4,83.93,1997-04-01
14515,4532,1997-04-27,7,76.27,1997-04-01
14516,4532,1997-05-10,6,70.62,1997-05-01
14517,4532,1997-06-29,1,15.36,1997-06-01
14518,4532,1997-07-20,3,76.32,1997-07-01
14519,4532,1997-08-04,12,156.42,1997-08-01
14520,4532,1997-10-07,4,38.96,1997-10-01
