用户,F,R,M,用户类型
5042,0,1,0,一般发展客户
5043,0,1,0,一般发展客户
5044,0,1,0,一般发展客户
5045,0,1,0,一般发展客户
5046,0,1,0,一般发展客户
5047,0,1,0,一般发展客户
5048,0,1,0,一般发展客户
5049,0,0,0,一般挽留客户
5050,1,0,1,重要保持客户
5051,0,1,0,一般发展客户
5052,0,1,0,一般发展客户
5053,0,1,0,一般发展客户
5054,0,1,0,一般发展客户
5055,1,0,1,重要保持客户
5056,1,0,0,一般保持客户
5057,1,0,1,重要保持客户
5058,0,1,0,一般发展客户
5059,0,1,0,一般发展客户
5060,1,0,1,重要保持客户
5061,0,1,0,一般发展客户
5062,0,1,0,一般发展客户
5063,0,0,0,一般挽留客户
5064,0,0,0,一般挽留客户
5065,1,0,1,重要保持客户
5066,0,1,0,一般发展客户
5067,1,0,0,一般保持客户
5068,1,0,1,重要保持客户
5069,0,1,0,一般发展客户
5070,0,0,0,一般挽留客户
5071,0,1,0,一般发展客户
5072,1,0,1,重要保持客户
5073,0,1,0,一般发展客户
5074,0,1,0,一般发展客户
5075,0,1,0,一般发展客户
5076,0,1,0,一般发展客户
5077,0,1,0,一般发展客户
5078,0,1,0,一般发展客户
5079,1,0,1,重要保持客户
5080,0,1,0,一般发展客户
5081,0,1,0,一般发展客户
5082,1,0,1,重要保持客户
5083,0,1,0,一般发展客户
5084,0,1,0,一般发展客户
5085,0,0,0,一般挽留客户
5086,0,1,0,一般发展客户
5087,0,1,0,一般发展客户
5088,0,1,0,一般发展客户
5089,0,1,0,一般发展客户
5090,0,1,0,一般发展客户
5091,0,1,0,一般发展客户
5092,1,0,1,重要保持客户
5093,0,1,0,一般发展客户
5094,0,1,0,一般发展客户
5095,0,0,0,一般挽留客户
5096,0,0,0,一般挽留客户
5097,0,0,0,一般挽留客户
5098,0,1,0,一般发展客户
5099,1,0,1,重要保持客户
5100,0,1,0,一般发展客户
5101,0,1,0,一般发展客户
5102,0,1,0,一般发展客户
5103,0,1,0,一般发展客户
5104,1,0,1,重要保持客户
5105,0,1,0,一般发展客户
5106,0,0,0,一般挽留客户
5107,0,1,0,一般发展客户
5108,1,0,1,重要保持客户
5109,0,1,0,一般发展客户
5110,0,0,0,一般挽留客户
5111,0,1,0,一般发展客户
5112,1,0,1,重要保持客户
5113,0,1,0,一般发展客户
5114,0,0,0,一般挽留客户
5115,0,1,0,一般发展客户
5116,1,0,1,重要保持客户
5117,1,0,1,重要保持客户
5118,0,1,0,一般发展客户
5119,1,0,1,重要保持客户
5120,1,0,1,重要保持客户
5121,0,1,0,一般发展客户
5122,1,0,1,重要保持客户
5123,0,0,0,一般挽留客户
5124,0,0,0,一般挽留客户
5125,1,0,1,重要保持客户
5126,0,0,0,一般挽留客户
5127,0,1,0,一般发展客户
5128,0,0,0,一般挽留客户
5129,0,1,0,一般发展客户
5130,0,0,0,一般挽留客户
5131,1,0,1,重要保持客户
5132,0,1,0,一般发展客户
5133,1,0,1,重要保持客户
5134,0,1,0,一般发展客户
5135,1,0,1,重要保持客户
5136,0,1,0,一般发展客户
5137,1,0,1,重要保持客户
5138,1,0,1,重要保持客户
5139,0,1,0,一般发展客户
5140,0,1,0,一般发展客户
5141,0,1,0,一般发展客户
5142,1,1,1,重要价值客户
5143,0,1,0,一般发展客户
5144,0,1,0,一般发展客户
5145,1,0,1,重要保持客户
5146,0,0,1,重要挽留客户
5147,0,0,0,一般挽留客户
5148,1,1,1,重要价值客户
5149,0,1,0,一般发展客户
5150,0,1,0,一般发展客户
5151,0,1,0,一般发展客户
5152,1,0,1,重要保持客户
5153,0,1,0,一般发展客户
5154,0,1,0,一般发展客户
5155,1,1,1,重要价值客户
5156,0,1,0,一般发展客户
5157,0,1,0,一般发展客户
5158,1,0,1,重要保持客户
5159,1,0,1,重要保持客户
5160,0,0,0,一般挽留客户
5161,1,1,1,重要价值客户
5162,0,1,0,一般发展客户
5163,0,1,0,一般发展客户
5164,0,1,0,一般发展客户
5165,0,1,0,一般发展客户
5166,0,0,0,一般挽留客户
5167,0,1,0,一般发展客户
5168,1,0,1,重要保持客户
5169,1,0,1,重要保持客户
5170,0,1,0,一般发展客户
5171,0,1,0,一般发展客户
5172,1,0,1,重要保持客户
5173,0,1,0,一般发展客户
5174,0,1,1,重要发展客户
5175,1,0,1,重要保持客户
5176,0,1,0,一般发展客户
5177,1,0,1,重要保持客户
5178,0,1,0,一般发展客户
5179,1,1,1,重要价值客户
5180,1,0,1,重要保持客户
5181,0,0,0,一般挽留客户
5182,0,0,1,重要挽留客户
5183,0,0,0,一般挽留客户
5184,0,0,0,一般挽留客户
5185,0,1,0,一般发展客户
5186,0,1,0,一般发展客户
5187,0,1,0,一般发展客户
5188,0,0,0,一般挽留客户
5189,0,1,0,一般发展客户
5190,0,1,0,一般发展客户
5191,0,1,0,一般发展客户
5192,1,0,1,重要保持客户
5193,0,1,0,一般发展客户
5194,0,1,0,一般发展客户
5195,1,0,1,重要保持客户
5196,0,1,0,一般发展客户
5197,1,0,1,重要保持客户
5198,0,1,0,一般发展客户
5199,0,1,0,一般发展客户
5200,0,1,0,一般发展客户
5201,0,0,0,一般挽留客户
5202,0,1,0,一般发展客户
5203,0,0,0,一般挽留客户
5204,0,1,0,一般发展客户
5205,0,1,0,一般发展客户
5206,1,1,1,重要价值客户
5207,0,1,0,一般发展客户
5208,1,1,1,重要价值客户
5209,0,1,0,一般发展客户
5210,1,1,1,重要价值客户
5211,0,1,0,一般发展客户
5212,0,1,0,一般发展客户
5213,1,0,1,重要保持客户
5214,0,1,0,一般发展客户
5215,0,1,0,一般发展客户
5216,0,1,0,一般发展客户
5217,0,1,0,一般发展客户
5218,0,1,0,一般发展客户
5219,0,1,0,一般发展客户
5220,0,1,0,一般发展客户
5221,1,0,1,重要保持客户
5222,0,1,0,一般发展客户
5223,1,0,1,重要保持客户
5224,0,1,0,一般发展客户
5225,0,1,0,一般发展客户
5226,1,0,1,重要保持客户
5227,0,1,0,一般发展客户
5228,0,1,0,一般发展客户
5229,0,1,0,一般发展客户
5230,1,0,1,重要保持客户
5231,0,1,0,一般发展客户
5232,1,0,1,重要保持客户
5233,0,1,0,一般发展客户
5234,0,1,0,一般发展客户
5235,0,1,0,一般发展客户
5236,0,1,0,一般发展客户
5237,0,0,0,一般挽留客户
5238,0,1,0,一般发展客户
5239,0,0,0,一般挽留客户
5240,1,0,1,重要保持客户
5241,0,1,0,一般发展客户
5242,0,1,0,一般发展客户
5243,0,1,0,一般发展客户
5244,0,0,0,一般挽留客户
5245,0,1,0,一般发展客户
5246,1,0,1,重要保持客户
5247,0,1,0,一般发展客户
5248,0,1,0,一般发展客户
5249,0,0,0,一般挽留客户
5250,0,1,0,一般发展客户
5251,1,0,1,重要保持客户
5252,1,0,1,重要保持客户
5253,0,1,0,一般发展客户
5254,0,1,0,一般发展客户
5255,0,0,0,一般挽留客户
5256,0,1,0,一般发展客户
5257,1,0,1,重要保持客户
5258,0,1,0,一般发展客户
5259,1,0,1,重要保持客户
5260,0,1,0,一般发展客户
5261,1,0,0,一般保持客户
5262,0,1,0,一般发展客户
5263,0,0,0,一般挽留客户
5264,1,0,1,重要保持客户
5265,1,0,1,重要保持客户
5266,0,1,0,一般发展客户
5267,1,0,1,重要保持客户
5268,1,1,1,重要价值客户
5269,0,1,0,一般发展客户
5270,1,0,1,重要保持客户
5271,0,1,0,一般发展客户
5272,0,1,0,一般发展客户
5273,0,1,0,一般发展客户
5274,1,0,1,重要保持客户
5275,0,1,0,一般发展客户
5276,0,1,0,一般发展客户
5277,0,1,0,一般发展客户
5278,1,0,1,重要保持客户
5279,1,0,1,重要保持客户
5280,0,1,1,重要发展客户
5281,0,0,0,一般挽留客户
5282,0,1,0,一般发展客户
5283,0,1,0,一般发展客户
5284,0,0,0,一般挽留客户
5285,1,0,1,重要保持客户
5286,1,1,1,重要价值客户
5287,0,0,0,一般挽留客户
5288,0,1,0,一般发展客户
5289,0,1,0,一般发展客户
5290,0,0,0,一般挽留客户
5291,0,1,0,一般发展客户
5292,1,0,1,重要保持客户
5293,0,1,0,一般发展客户
5294,0,1,0,一般发展客户
5295,1,0,1,重要保持客户
5296,0,1,0,一般发展客户
5297,0,1,0,一般发展客户
5298,0,1,0,一般发展客户
5299,1,0,1,重要保持客户
5300,0,0,0,一般挽留客户
5301,0,1,0,一般发展客户
5302,0,0,0,一般挽留客户
5303,1,0,1,重要保持客户
5304,0,1,0,一般发展客户
5305,0,1,0,一般发展客户
5306,0,1,0,一般发展客户
5307,1,0,1,重要保持客户
5308,0,1,0,一般发展客户
5309,0,1,0,一般发展客户
5310,0,1,0,一般发展客户
5311,1,0,1,重要保持客户
5312,0,1,0,一般发展客户
5313,0,1,0,一般发展客户
5314,0,1,0,一般发展客户
5315,0,1,0,一般发展客户
5316,0,1,0,一般发展客户
5317,0,1,0,一般发展客户
5318,0,1,0,一般发展客户
5319,0,1,0,一般发展客户
5320,1,0,1,重要保持客户
5321,0,1,0,一般发展客户
5322,0,1,0,一般发展客户
5323,0,1,0,一般发展客户
5324,0,1,0,一般发展客户
5325,0,1,0,一般发展客户
5326,1,1,1,重要价值客户
5327,0,1,0,一般发展客户
5328,0,1,0,一般发展客户
5329,0,1,0,一般发展客户
5330,0,1,0,一般发展客户
5331,0,0,0,一般挽留客户
5332,1,0,1,重要保持客户
5333,0,0,1,重要挽留客户
5334,0,1,0,一般发展客户
5335,0,1,0,一般发展客户
5336,1,0,1,重要保持客户
5337,0,1,0,一般发展客户
5338,0,1,0,一般发展客户
5339,0,0,1,重要挽留客户
5340,0,1,0,一般发展客户
5341,0,1,0,一般发展客户
5342,0,1,0,一般发展客户
5343,0,1,0,一般发展客户
5344,0,1,1,重要发展客户
5345,1,0,1,重要保持客户
5346,0,1,0,一般发展客户
5347,0,1,0,一般发展客户
5348,1,0,1,重要保持客户
5349,0,0,0,一般挽留客户
5350,1,1,1,重要价值客户
5351,0,1,0,一般发展客户
5352,0,0,1,重要挽留客户
5353,0,1,0,一般发展客户
5354,0,1,0,一般发展客户
5355,0,1,0,一般发展客户
5356,0,1,0,一般发展客户
5357,0,0,0,一般挽留客户
5358,0,1,0,一般发展客户
5359,1,0,1,重要保持客户
5360,0,0,0,一般挽留客户
5361,1,0,1,重要保持客户
5362,0,1,0,一般发展客户
5363,0,1,0,一般发展客户
5364,0,1,0,一般发展客户
5365,0,1,0,一般发展客户
5366,0,1,0,一般发展客户
5367,1,1,1,重要价值客户
5368,1,0,1,重要保持客户
5369,0,1,0,一般发展客户
5370,0,1,0,一般发展客户
5371,0,1,0,一般发展客户
5372,0,1,0,一般发展客户
5373,1,0,1,重要保持客户
5374,0,0,0,一般挽留客户
5375,0,1,0,一般发展客户
5376,0,1,0,一般发展客户
5377,1,0,1,重要保持客户
5378,0,1,0,一般发展客户
5379,1,0,1,重要保持客户
5380,0,1,0,一般发展客户
5381,0,1,0,一般发展客户
5382,0,1,0,一般发展客户
5383,0,1,0,一般发展客户
5384,0,1,0,一般发展客户
5385,1,0,1,重要保持客户
5386,1,0,1,重要保持客户
5387,0,0,0,一般挽留客户
5388,0,1,0,一般发展客户
5389,0,1,0,一般发展客户
5390,0,1,0,一般发展客户
5391,0,1,0,一般发展客户
5392,0,0,0,一般挽留客户
5393,0,1,0,一般发展客户
5394,0,1,0,一般发展客户
5395,0,0,0,一般挽留客户
5396,0,0,0,一般挽留客户
5397,0,0,1,重要挽留客户
5398,0,0,1,重要挽留客户
5399,0,1,0,一般发展客户
5400,0,1,0,一般发展客户
5401,1,0,1,重要保持客户
5402,0,1,0,一般发展客户
5403,1,0,1,重要保持客户
5404,1,0,1,重要保持客户
5405,1,0,1,重要保持客户
5406,0,1,0,一般发展客户
5407,0,1,0,一般发展客户
5408,0,1,0,一般发展客户
5409,0,1,0,一般发展客户
5410,0,1,0,一般发展客户
5411,0,1,0,一般发展客户
5412,1,1,1,重要价值客户
5413,1,1,1,重要价值客户
5414,0,1,0,一般发展客户
5415,0,1,0,一般发展客户
5416,1,0,1,重要保持客户
5417,0,0,1,重要挽留客户
5418,0,1,0,一般发展客户
5419,1,1,1,重要价值客户
5420,1,0,1,重要保持客户
5421,0,1,0,一般发展客户
5422,0,1,0,一般发展客户
5423,0,1,0,一般发展客户
5424,0,0,0,一般挽留客户
5425,0,1,0,一般发展客户
5426,1,0,1,重要保持客户
5427,1,0,1,重要保持客户
5428,0,1,0,一般发展客户
5429,0,1,1,重要发展客户
5430,0,1,0,一般发展客户
5431,0,1,0,一般发展客户
5432,0,1,0,一般发展客户
5433,0,1,0,一般发展客户
5434,0,1,0,一般发展客户
5435,0,0,0,一般挽留客户
5436,1,0,1,重要保持客户
5437,1,0,1,重要保持客户
5438,0,1,0,一般发展客户
5439,0,1,0,一般发展客户
5440,1,0,1,重要保持客户
5441,0,1,0,一般发展客户
5442,0,1,0,一般发展客户
5443,0,1,0,一般发展客户
5444,1,0,1,重要保持客户
5445,0,0,0,一般挽留客户
5446,0,1,0,一般发展客户
5447,1,0,0,一般保持客户
5448,0,1,0,一般发展客户
5449,0,1,0,一般发展客户
5450,0,0,0,一般挽留客户
5451,0,1,0,一般发展客户
5452,0,1,0,一般发展客户
5453,0,1,0,一般发展客户
5454,0,1,0,一般发展客户
5455,0,1,0,一般发展客户
5456,0,1,0,一般发展客户
5457,0,1,0,一般发展客户
5458,0,1,0,一般发展客户
5459,0,1,0,一般发展客户
5460,1,0,1,重要保持客户
5461,0,1,0,一般发展客户
5462,0,1,0,一般发展客户
5463,0,1,0,一般发展客户
5464,1,1,1,重要价值客户
5465,0,1,0,一般发展客户
5466,1,0,1,重要保持客户
5467,0,1,0,一般发展客户
5468,0,1,0,一般发展客户
5469,0,0,0,一般挽留客户
5470,0,1,0,一般发展客户
5471,0,1,0,一般发展客户
5472,0,1,0,一般发展客户
5473,0,1,0,一般发展客户
5474,1,0,1,重要保持客户
5475,0,1,0,一般发展客户
5476,0,1,0,一般发展客户
5477,1,0,1,重要保持客户
5478,1,0,1,重要保持客户
5479,0,1,0,一般发展客户
5480,0,1,0,一般发展客户
5481,0,1,0,一般发展客户
5482,0,1,0,一般发展客户
5483,0,1,0,一般发展客户
5484,0,1,0,一般发展客户
5485,0,1,0,一般发展客户
5486,0,1,0,一般发展客户
5487,0,1,0,一般发展客户
5488,1,0,1,重要保持客户
5489,1,1,1,重要价值客户
5490,0,1,0,一般发展客户
5491,0,1,0,一般发展客户
5492,0,1,0,一般发展客户
5493,0,1,0,一般发展客户
5494,0,1,0,一般发展客户
5495,0,1,0,一般发展客户
5496,1,0,1,重要保持客户
5497,0,0,0,一般挽留客户
5498,1,1,1,重要价值客户
5499,1,0,1,重要保持客户
5500,1,0,1,重要保持客户
5501,0,1,0,一般发展客户
5502,0,1,0,一般发展客户
5503,0,0,0,一般挽留客户
5504,0,1,0,一般发展客户
5505,0,1,0,一般发展客户
5506,1,0,1,重要保持客户
5507,0,1,0,一般发展客户
5508,0,1,0,一般发展客户
5509,1,0,1,重要保持客户
5510,0,1,0,一般发展客户
5511,0,0,0,一般挽留客户
5512,0,1,0,一般发展客户
5513,0,1,0,一般发展客户
5514,0,1,0,一般发展客户
5515,0,0,0,一般挽留客户
5516,0,1,0,一般发展客户
5517,0,1,0,一般发展客户
5518,0,1,0,一般发展客户
5519,0,0,0,一般挽留客户
5520,0,1,0,一般发展客户
5521,0,1,0,一般发展客户
5522,0,1,0,一般发展客户
5523,0,1,0,一般发展客户
5524,0,0,0,一般挽留客户
5525,1,0,1,重要保持客户
5526,0,1,0,一般发展客户
5527,1,0,1,重要保持客户
5528,0,1,0,一般发展客户
5529,0,1,0,一般发展客户
5530,0,1,0,一般发展客户
5531,0,1,0,一般发展客户
5532,0,1,0,一般发展客户
5533,0,1,0,一般发展客户
5534,0,1,0,一般发展客户
5535,0,1,0,一般发展客户
5536,0,1,0,一般发展客户
5537,0,1,0,一般发展客户
5538,0,1,0,一般发展客户
5539,0,1,0,一般发展客户
5540,0,0,0,一般挽留客户
5541,0,0,0,一般挽留客户
5542,0,1,0,一般发展客户
5543,0,0,0,一般挽留客户
5544,0,0,0,一般挽留客户
5545,0,1,0,一般发展客户
5546,0,1,0,一般发展客户
5547,0,1,0,一般发展客户
5548,0,1,0,一般发展客户
5549,0,0,1,重要挽留客户
5550,1,0,1,重要保持客户
5551,1,0,1,重要保持客户
5552,0,1,0,一般发展客户
5553,1,0,1,重要保持客户
5554,0,0,0,一般挽留客户
5555,0,0,1,重要挽留客户
5556,1,1,1,重要价值客户
5557,0,1,0,一般发展客户
5558,0,1,0,一般发展客户
5559,0,1,0,一般发展客户
5560,0,1,0,一般发展客户
5561,0,1,0,一般发展客户
5562,0,1,0,一般发展客户
5563,0,0,0,一般挽留客户
5564,0,1,0,一般发展客户
5565,0,0,0,一般挽留客户
5566,0,1,0,一般发展客户
5567,0,1,0,一般发展客户
5568,0,1,0,一般发展客户
5569,0,0,1,重要挽留客户
5570,0,0,0,一般挽留客户
5571,0,1,0,一般发展客户
5572,0,1,1,重要发展客户
5573,0,0,0,一般挽留客户
5574,1,0,1,重要保持客户
5575,1,0,1,重要保持客户
5576,0,1,0,一般发展客户
5577,0,0,0,一般挽留客户
5578,0,1,0,一般发展客户
5579,0,1,0,一般发展客户
5580,0,0,1,重要挽留客户
5581,0,1,0,一般发展客户
5582,0,1,0,一般发展客户
5583,0,1,0,一般发展客户
5584,0,1,0,一般发展客户
5585,0,0,0,一般挽留客户
5586,0,1,0,一般发展客户
5587,0,1,0,一般发展客户
5588,0,0,0,一般挽留客户
5589,0,1,0,一般发展客户
5590,0,1,0,一般发展客户
5591,0,1,0,一般发展客户
5592,0,1,0,一般发展客户
5593,0,1,0,一般发展客户
5594,1,0,1,重要保持客户
5595,0,1,0,一般发展客户
5596,0,1,0,一般发展客户
5597,0,1,0,一般发展客户
5598,0,1,0,一般发展客户
5599,0,1,0,一般发展客户
5600,1,0,1,重要保持客户
5601,1,0,1,重要保持客户
5602,0,1,0,一般发展客户
5603,0,1,0,一般发展客户
5604,0,1,0,一般发展客户
5605,0,1,0,一般发展客户
5606,1,0,1,重要保持客户
5607,0,1,0,一般发展客户
5608,1,0,1,重要保持客户
5609,0,1,0,一般发展客户
5610,1,0,1,重要保持客户
5611,0,1,0,一般发展客户
5612,0,1,0,一般发展客户
5613,0,1,0,一般发展客户
5614,0,0,0,一般挽留客户
5615,0,1,0,一般发展客户
5616,0,1,0,一般发展客户
5617,0,1,0,一般发展客户
5618,1,0,1,重要保持客户
5619,0,1,0,一般发展客户
5620,0,1,0,一般发展客户
5621,0,1,0,一般发展客户
5622,0,1,1,重要发展客户
5623,0,1,0,一般发展客户
5624,0,1,0,一般发展客户
5625,0,1,0,一般发展客户
5626,0,1,0,一般发展客户
5627,0,1,0,一般发展客户
5628,0,0,0,一般挽留客户
5629,0,1,0,一般发展客户
5630,0,1,0,一般发展客户
5631,1,0,1,重要保持客户
5632,0,1,0,一般发展客户
5633,0,1,0,一般发展客户
5634,1,0,1,重要保持客户
5635,0,1,0,一般发展客户
5636,0,1,0,一般发展客户
5637,0,1,0,一般发展客户
5638,0,1,0,一般发展客户
5639,0,1,0,一般发展客户
5640,0,1,0,一般发展客户
5641,0,1,0,一般发展客户
5642,0,0,0,一般挽留客户
5643,0,1,0,一般发展客户
5644,0,1,0,一般发展客户
5645,0,0,0,一般挽留客户
5646,0,1,0,一般发展客户
5647,0,0,0,一般挽留客户
5648,0,0,0,一般挽留客户
5649,1,0,1,重要保持客户
5650,0,1,0,一般发展客户
5651,0,0,0,一般挽留客户
5652,0,1,0,一般发展客户
5653,0,1,0,一般发展客户
5654,0,1,0,一般发展客户
5655,0,1,0,一般发展客户
5656,0,1,0,一般发展客户
5657,1,0,1,重要保持客户
5658,1,0,1,重要保持客户
5659,0,1,0,一般发展客户
5660,0,1,0,一般发展客户
5661,0,0,0,一般挽留客户
5662,0,1,0,一般发展客户
5663,0,1,0,一般发展客户
5664,0,1,0,一般发展客户
5665,1,0,1,重要保持客户
5666,0,1,0,一般发展客户
5667,0,1,0,一般发展客户
5668,1,0,1,重要保持客户
5669,1,0,1,重要保持客户
5670,1,0,1,重要保持客户
5671,1,0,1,重要保持客户
5672,1,0,1,重要保持客户
5673,0,1,0,一般发展客户
5674,0,1,0,一般发展客户
5675,0,1,0,一般发展客户
5676,0,1,0,一般发展客户
5677,1,0,1,重要保持客户
5678,0,1,0,一般发展客户
5679,0,1,0,一般发展客户
5680,0,1,0,一般发展客户
5681,0,1,0,一般发展客户
5682,1,0,1,重要保持客户
5683,0,1,0,一般发展客户
5684,0,1,0,一般发展客户
5685,0,1,0,一般发展客户
5686,0,1,0,一般发展客户
5687,0,0,0,一般挽留客户
5688,0,1,0,一般发展客户
5689,1,0,1,重要保持客户
5690,0,0,0,一般挽留客户
5691,0,1,0,一般发展客户
5692,0,1,0,一般发展客户
5693,0,1,0,一般发展客户
5694,0,1,0,一般发展客户
5695,1,0,1,重要保持客户
5696,0,1,0,一般发展客户
5697,0,1,0,一般发展客户
5698,1,0,1,重要保持客户
5699,0,1,0,一般发展客户
5700,0,1,0,一般发展客户
5701,1,0,1,重要保持客户
5702,0,0,0,一般挽留客户
5703,0,1,0,一般发展客户
5704,0,1,0,一般发展客户
5705,0,0,0,一般挽留客户
5706,0,1,0,一般发展客户
5707,0,1,0,一般发展客户
5708,1,0,1,重要保持客户
5709,0,1,0,一般发展客户
5710,1,0,1,重要保持客户
5711,1,0,1,重要保持客户
5712,1,0,1,重要保持客户
5713,1,0,0,一般保持客户
5714,0,1,0,一般发展客户
5715,0,1,0,一般发展客户
5716,0,1,0,一般发展客户
5717,1,1,1,重要价值客户
5718,0,1,0,一般发展客户
5719,0,1,0,一般发展客户
5720,0,0,0,一般挽留客户
5721,0,0,0,一般挽留客户
5722,1,0,1,重要保持客户
5723,1,1,1,重要价值客户
5724,0,1,0,一般发展客户
5725,1,0,1,重要保持客户
5726,0,1,0,一般发展客户
5727,0,1,0,一般发展客户
5728,0,1,0,一般发展客户
5729,0,1,0,一般发展客户
5730,0,1,0,一般发展客户
5731,1,0,1,重要保持客户
5732,0,1,0,一般发展客户
5733,1,0,0,一般保持客户
5734,0,1,0,一般发展客户
5735,0,0,0,一般挽留客户
5736,0,0,0,一般挽留客户
5737,0,1,0,一般发展客户
5738,0,0,0,一般挽留客户
5739,1,1,0,一般价值客户
5740,1,0,1,重要保持客户
5741,1,0,1,重要保持客户
5742,0,1,0,一般发展客户
5743,1,0,1,重要保持客户
5744,0,1,0,一般发展客户
5745,0,0,0,一般挽留客户
5746,1,1,1,重要价值客户
5747,1,0,1,重要保持客户
5748,1,0,1,重要保持客户
5749,1,0,1,重要保持客户
5750,0,1,0,一般发展客户
5751,0,1,0,一般发展客户
5752,1,1,1,重要价值客户
5753,0,1,0,一般发展客户
5754,0,0,0,一般挽留客户
5755,1,0,1,重要保持客户
5756,1,0,1,重要保持客户
5757,0,1,0,一般发展客户
5758,0,1,0,一般发展客户
5759,0,1,0,一般发展客户
5760,0,0,0,一般挽留客户
5761,0,0,0,一般挽留客户
5762,0,0,0,一般挽留客户
5763,0,1,0,一般发展客户
5764,0,0,0,一般挽留客户
5765,1,0,1,重要保持客户
5766,0,1,0,一般发展客户
5767,0,1,1,重要发展客户
5768,0,1,0,一般发展客户
5769,0,1,0,一般发展客户
5770,0,1,0,一般发展客户
5771,0,1,0,一般发展客户
5772,1,0,1,重要保持客户
5773,0,1,0,一般发展客户
5774,0,1,0,一般发展客户
5775,1,0,1,重要保持客户
5776,0,1,0,一般发展客户
5777,0,1,0,一般发展客户
5778,0,1,0,一般发展客户
5779,1,0,1,重要保持客户
5780,0,1,0,一般发展客户
5781,0,1,0,一般发展客户
5782,0,0,0,一般挽留客户
5783,1,1,1,重要价值客户
5784,1,0,1,重要保持客户
5785,0,1,0,一般发展客户
5786,0,1,0,一般发展客户
5787,0,0,0,一般挽留客户
5788,0,1,0,一般发展客户
5789,0,1,0,一般发展客户
5790,0,1,0,一般发展客户
5791,0,0,0,一般挽留客户
5792,0,1,0,一般发展客户
5793,1,0,1,重要保持客户
5794,1,0,1,重要保持客户
5795,1,1,1,重要价值客户
5796,0,1,0,一般发展客户
5797,0,1,0,一般发展客户
5798,0,1,0,一般发展客户
5799,0,1,0,一般发展客户
5800,0,1,0,一般发展客户
5801,0,1,0,一般发展客户
5802,0,1,0,一般发展客户
5803,0,0,0,一般挽留客户
5804,1,0,1,重要保持客户
5805,0,1,1,重要发展客户
5806,0,1,0,一般发展客户
5807,0,1,0,一般发展客户
5808,1,0,1,重要保持客户
5809,0,1,0,一般发展客户
5810,0,1,0,一般发展客户
5811,0,0,0,一般挽留客户
5812,0,1,0,一般发展客户
5813,0,1,0,一般发展客户
5814,1,1,1,重要价值客户
5815,0,1,0,一般发展客户
5816,0,1,0,一般发展客户
5817,0,1,0,一般发展客户
5818,0,1,0,一般发展客户
5819,0,1,0,一般发展客户
5820,0,1,0,一般发展客户
5821,0,1,0,一般发展客户
5822,1,1,1,重要价值客户
5823,0,1,0,一般发展客户
5824,0,0,0,一般挽留客户
5825,0,1,0,一般发展客户
5826,0,1,0,一般发展客户
5827,1,0,1,重要保持客户
5828,0,1,0,一般发展客户
5829,0,1,0,一般发展客户
5830,0,1,0,一般发展客户
5831,0,1,0,一般发展客户
5832,0,1,0,一般发展客户
5833,0,1,0,一般发展客户
5834,0,1,0,一般发展客户
5835,1,0,1,重要保持客户
5836,0,1,0,一般发展客户
5837,1,1,1,重要价值客户
5838,0,1,0,一般发展客户
5839,1,1,1,重要价值客户
5840,0,1,0,一般发展客户
5841,0,1,0,一般发展客户
5842,1,0,1,重要保持客户
5843,0,1,0,一般发展客户
5844,1,0,1,重要保持客户
5845,1,0,1,重要保持客户
5846,0,1,0,一般发展客户
5847,1,0,1,重要保持客户
5848,0,0,0,一般挽留客户
5849,0,1,0,一般发展客户
5850,0,1,0,一般发展客户
5851,0,1,0,一般发展客户
5852,0,1,0,一般发展客户
5853,0,1,0,一般发展客户
5854,0,1,0,一般发展客户
5855,1,1,1,重要价值客户
5856,0,1,0,一般发展客户
5857,0,1,0,一般发展客户
5858,0,1,0,一般发展客户
5859,0,0,0,一般挽留客户
5860,1,0,1,重要保持客户
5861,0,1,0,一般发展客户
5862,1,0,1,重要保持客户
5863,1,0,1,重要保持客户
5864,0,1,0,一般发展客户
5865,0,1,0,一般发展客户
5866,0,1,0,一般发展客户
5867,1,0,1,重要保持客户
5868,1,0,1,重要保持客户
5869,0,1,0,一般发展客户
5870,1,0,1,重要保持客户
5871,0,1,0,一般发展客户
5872,1,0,1,重要保持客户
5873,0,1,0,一般发展客户
5874,0,1,0,一般发展客户
5875,0,0,0,一般挽留客户
5876,1,0,1,重要保持客户
5877,0,1,0,一般发展客户
5878,1,0,1,重要保持客户
5879,0,1,0,一般发展客户
5880,0,1,0,一般发展客户
5881,0,0,1,重要挽留客户
5882,0,1,0,一般发展客户
5883,1,0,1,重要保持客户
5884,0,1,0,一般发展客户
5885,0,1,0,一般发展客户
5886,0,1,0,一般发展客户
5887,0,1,0,一般发展客户
5888,1,1,1,重要价值客户
5889,0,1,0,一般发展客户
5890,0,1,0,一般发展客户
5891,0,1,0,一般发展客户
5892,0,1,0,一般发展客户
5893,1,0,1,重要保持客户
5894,0,1,0,一般发展客户
5895,0,1,0,一般发展客户
5896,0,1,0,一般发展客户
5897,0,1,0,一般发展客户
5898,0,1,0,一般发展客户
5899,0,0,0,一般挽留客户
5900,0,1,0,一般发展客户
5901,0,1,0,一般发展客户
5902,0,0,0,一般挽留客户
5903,0,1,0,一般发展客户
5904,0,1,0,一般发展客户
5905,1,1,1,重要价值客户
5906,1,0,1,重要保持客户
5907,0,1,0,一般发展客户
